Percent_ Fair/Poor,Physically_Unhealthy_Days,Mentally _Unhealthy Days,Percent_ LBW,Percent_ Smokers,Percent_ Obese,Percent_ Physically Inactive,Percent_ Excessive_Drinking,Chlamydia_Rate,Teen_Birth_Rate,PCP_Rate,Dentist_Rate,MHP_Rate,ACSC_Rate,HS_Graduation_Rate,Percent_ Unemployed,Percent_ Children_Poverty,Percent_ Single_Parent_Households,Violent_Crime_Rate,Younger_than_18,65_over,African_American,American_Indian ,Asian,Native_Hawaiian ,Hispanic,NonHispanic_white,Percent_ Not_Proficient_English,Female,Rural,Percent_ Diabetic,HIV_Rate,Age_adjusted_Mortality,Infant_mortality_rate,Child_mortality_rate,Percent_ Adults_Uninsured,Health_Costs,Percent_ Couldn't_Access_Doctor,Household_Income,Percent_ Free_Lunch
15,3.5,3.3,8.8,14,25,21,14,690,20,136,154,390,59,65,6.6,27,38,702,17.7,11.5,20,0.3,5.5,0.1,8.6,63.6,1.4,51.6,21.2,7,383,354.6,10.1,81.7,23,9515,13,41297,41
29,7.5,4.7,9.5,20,37,32,12,335,68,26,30,89,92,65,7.8,26,32,206,25.4,11.9,13.3,0.4,0.5,0,2.1,82.3,0.2,47.9,59.5,13,380,494.8,8.6,85.6,22,12896,17,45721,40
17,5.6,5.6,8.5,25,29,25,21,385,55,57,44,173,74,68,8.3,26,34,549,21.5,15.5,10.7,0.7,2.1,0.1,5,78.9,0.9,50.6,12,10,266,434.4,8.8,61,25,11812,24,45259,46
15,3.7,5,9.9,13,36,31,16,566,73,25,18,15,126,61,7.2,35,35,414,20.3,16.5,20.7,0.4,0.5,0,3.9,73.3,0.6,43.5,75.5,13,484,491,,91.2,24,10846,,38680,57
14,4.3,4.3,8.2,22,28,25,20,293,31,72,53,124,61,81,9.2,23,34,617,19.1,21.6,9.8,0.4,2.2,0.1,8.4,77.3,1.3,51.1,5.1,12,251,358.7,7,54.8,24,10808,18,46332,35
14,3.4,3.4,9.3,14,24,24,15,398,29,74,67,126,64,72,7.4,21,37,505,21.6,14.7,26.2,0.4,3.5,0.1,25.8,42.9,7.2,51.5,0,9,1079,317.4,6.2,54,31,11904,16,49564,46
36,7.2,5.5,8.5,30,36,32,8,292,59,41,48,20,100,73,8.1,31,40,112,20.9,16.5,13.5,1.1,0.7,0.1,5.3,77.6,2.3,45.5,67.5,14,510,422.8,,88.6,28,11557,,33418,52
20,3.9,5,7.5,22,26,23,13,199,34,70,46,90,62,73,8.8,24,35,265,13.5,36,5.4,0.3,1.3,0,5.9,85.9,1.1,51.5,8.9,13,164,332.2,6,44.4,25,10941,18,44454,49
17,4.4,4.6,7.5,24,29,26,15,278,43,57,30,42,50,75,9.8,34,39,343,15.3,33.8,2.7,0.4,1.5,0,4.8,89.5,0.7,51.7,34.5,13,86,433.6,6.8,52.5,26,10159,21,38937,46
13,3.3,3.5,7.8,21,28,25,16,349,33,67,47,63,73,74,7.6,15,29,440,24.9,13.1,9.7,0.5,3,0.1,8,76.6,1.5,51.1,15,11,146,361.1,6.5,38.4,20,11334,14,56359,29
